Domizil;Beobachtungseinheit;Art;Geschlecht;1948;1949;1950;1951;1952;1953;1954;1955;1956;1957;1958;1959;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
Schweiz;Anzahl Renten;Altersrente;Männer;80'704;97'708;110'673;141'480;153'313;163'029;174'531;181'792;216'845;232'442;236'981;245'590;244'676;222'937;260'286;262'529;266'995;274'481;281'116;284'772;295'990;301'440;…;…;…;…;…;321'519;326'278;326'923;332'959;340'134;345'425;347'504;349'957;351'324;353'768;356'984;362'816;369'440;374'627;379'604;382'964;387'825;392'453;397'620;406'075;412'612;418'778;424'287;431'387;439'399;447'348;456'234;464'058;471'734;481'562;490'843;502'915;517'977;534'159;551'663;568'999;586'944;604'753;621'982;638'712;653'540;669'020;683'410;697'586;712'592;726'679;740'779;755'864;772'655
Schweiz;Anzahl Renten;Altersrente;Frauen;136'621;153'455;166'239;208'377;225'617;238'565;257'387;269'065;318'435;382'872;394'058;408'677;413'342;385'031;442'730;449'443;482'171;497'671;510'834;518'704;536'972;547'352;…;…;…;…;…;583'872;591'024;593'644;599'479;606'260;603'614;602'096;608'868;618'170;627'705;636'244;645'778;655'022;664'072;672'810;678'543;686'808;693'794;702'024;718'756;725'714;731'522;733'819;741'536;747'372;753'235;734'700;737'280;743'850;752'889;738'432;748'614;762'944;779'094;794'154;804'744;811'564;825'597;839'229;854'035;865'038;879'296;891'545;904'829;918'522;932'591;945'897;960'235;976'779
Schweiz;Anzahl Renten;Zusatzrenten für Ehepartner;Männer;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;23;87;166;150;272;407;523;435;526;586;424;323;238;182;140;116;89;65;50;39;34;24;20;17;16;13
Schweiz;Anzahl Renten;Zusatzrenten für Ehepartner;Frauen;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;24'249;28'616;29'670;30'177;31'681;31'874;…;…;…;…;…;29'326;29'815;29'634;30'637;32'996;40'283;46'004;45'361;43'530;41'858;40'838;40'150;39'444;38'215;36'725;36'444;36'198;36'017;35'677;35'226;35'435;35'573;34'307;32'752;30'133;26'736;30'660;25'835;18'557;10'179;10'951;10'937;10'721;8'483;6'612;5'134;4'146;3'277;2'580;2'108;1'685;1'360;1'134;911;733;593;485;403;329
Schweiz;Anzahl Renten;Zusatzrente für Kinder (Vater);Total;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;8'090;7'287;7'630;8'013;8'267;8'747;9'484;10'252;11'115;11'858;12'357;12'941;13'709;14'471;15'185;15'527;16'229;16'808;17'499;18'359;19'176;19'671;20'568
Schweiz;Anzahl Renten;Zusatzrente für Kinder (Mutter);Total;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;1'007;941;913;999;665;667;719;761;808;830;874;932;1'035;1'156;1'201;1'228;1'296;1'403;1'477;1'655;1'787;1'854;1'962
Schweiz;Anzahl Renten;Zusatzrente für Kinder (Vater oder Mutter);Total;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;8'676;11'522;12'515;13'194;13'757;13'892;…;…;…;…;…;15'368;15'957;15'785;15'611;15'657;15'391;15'031;14'624;14'218;13'909;13'409;13'202;12'960;12'468;11'735;11'090;10'329;9'773;9'338;8'054;7'974;7'643;7'813;7'854;8'249;8'298;9'097;8'228;8'543;9'012;8'932;9'414;10'203;11'013;11'923;12'688;13'231;13'873;14'744;15'627;16'386;16'755;17'525;18'211;18'976;20'014;20'963;21'525;22'530
Schweiz;Anzahl Renten;Zusatzrente für Kinder (doppelt);Total;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;1'716;3'327;4'256;4'775;5'102;5'333;…;…;…;…;…;294;300;323;284;308;303;268;240;225;258;223;221;213;209;223;200;186;156;152;143;144;133;81;57;48;36;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
Schweiz;Anzahl Renten;Witwer/Witwe;Männer;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;1'617;1'887;1'986;2'030;2'039;2'093;2'074;2'101;2'072;2'098;2'025;1'987;1'948;1'901;1'909;1'816;1'800;1'747;1'725;1'679;1'640;1'591;1'594;1'601;1'583;1'639;2'115
Schweiz;Anzahl Renten;Witwer/Witwe;Frauen;38'459;42'350;45'155;54'147;58'322;61'168;64'478;66'351;80'877;69'514;69'408;70'800;69'205;61'124;68'540;68'034;60'972;60'757;60'595;60'131;60'505;59'814;…;…;…;…;…;54'922;54'282;52'328;52'542;54'391;54'967;55'701;55'983;55'895;55'305;54'909;54'332;53'646;52'922;51'972;51'190;50'219;49'601;48'645;46'946;46'026;45'114;45'320;45'588;45'649;45'495;48'765;48'779;48'568;48'375;51'596;51'450;51'173;50'620;50'049;49'644;49'405;48'772;48'657;48'452;48'467;48'239;48'064;47'943;47'787;47'387;47'551;47'363;46'742
