jahr;diskontfaktor
1979;2.0086455331412116
1980;1.885482416591525
1981;1.7690355329949248
1982;1.676824378508421
1983;1.642576590730559
1984;1.5961832061068713
1985;1.5454545454545463
1986;1.5454545454545463
1987;1.516316171138507
1988;1.48719772403983
1989;1.4166666666666674
1990;1.345559845559846
1991;1.2781173594132034
1992;1.2358156028368799
1993;1.2058823529411768
1994;1.2010338885697878
1995;1.1780281690140848
1996;1.1688093907210735
1997;1.1649025069637886
1998;1.1668526785714288
1999;1.1476399560922066
2000;1.1302702702702705
2001;1.1266163793103452
2002;1.11698717948718
2003;1.110462028677642
2004;1.095911949685535
2005;1.0845435684647304
2006;1.0783909231562663
2007;1.0571284125379172
2008;1.049698795180723
2009;1.0465465465465467
2010;1.041334661354582
2011;1.0486459378134405
2012;1.0534005037783378
2013;1.0523402113739309
2014;1.0560606060606064
2015;1.0701125895598773
2016;1.0701125895598773
2017;1.0625000000000002
2018;1.0523402113739309
2019;1.0486459378134403
2020;1.0565942395149066
2021;1.0502260170768458
2022;1.021494870542257
2023;1
2024;0.9861932938856016
2025;0.9754631986999027
2026;0.9658051472276264
2027;0.9562427200273529
2028;0.9467749703241117
2029;0.9374009607169423
2030;0.9281197630860815
2031;0.9189304585010708
2032;0.909832137129773
2033;0.9008238981482901
2034;0.8919048496517723
2035;0.8830741085661112
2036;0.8743308005605063
2037;0.8656740599608972
2038;0.8571030296642548
2039;0.8486168610537175
2040;0.8402147139145718
2041;0.8318957563510612
2042;0.8236591647040209
2043;0.8155041234693277
2044;0.807429825217156
2045;0.7994354705120357
2046;0.7915202678336987
2047;0.7836834334987116
2048;0.7759241915828828
2049;0.7682417738444384
2050;0.7606354196479588
2051;0.7531043758890681
2052;0.7456478969198694
2053;0.7382652444751182
2054;0.7309556875991269
2055;0.723718502573393
2056;0.7165529728449435
2057;0.7094583889553897
2058;0.7024340484706828
2059;0.6954792559115671
2060;0.68859332268472
2061;0.6817755670145742
2062;0.675025313875816
2063;0.6683418949265505
2064;0.6617246484421292
2065;0.6551729192496328
2066;0.6486860586630029
2067;0.6422634244188147
2068;0.6359043806126877
2069;0.6296082976363245
2070;0.6233745521151729
