jahr;lohnindex;preisindex;minimalrente;rentenentwicklung
1997;1919;179.5;995;1
1998;1932;179.2;995;1
1999;1938;182.2;1005;1
2000;1963;185;1005;1
2001;2011;185.6;1030;1
2002;2047;187.2;1030;1
2003;2076;188.3;1055;1
2004;2095;190.8;1055;1
2005;2115;192.8;1075;1
2006;2140;193.9;1075;1
2007;2175;197.8;1105;1
2008;2219;199.2;1105;1
2009;2266;199.8;1140;1
2010;2285;200.8;1140;1
2011;2306;199.4;1160;1
2012;2326;198.5;1160;1
2013;2343;198.7;1170;1
2014;2361;198;1170;1
2015;2370;195.4;1175;1
2016;2386;195.4;1175;1
2017;2395;196.8;1175;1
2018;2407;198.7;1175;1
2019;2429;199.4;1185;1
2020;2449;197.9;1185;1
2021;2445;199.1;1195;1
2022;2468;204.7;1195;1
2023;2510;209.1;1225;1
2024;2560;212;1225;1
2025;2604;214.4;1260;1.028571429
2026;2645;216.5;1260;1.028571429
2027;2685;218.7;1295;1.057142857
2028;2725;220.9;1295;1.057142857
2029;2777;223.1;1330;1.085714286
2030;2830;225.3;1330;1.085714286
2031;2884;227.5;1370;1.118367347
2032;2938;229.8;1370;1.118367347
2033;2994;232.1;1410;1.151020408
2034;3051;234.4;1410;1.151020408
2035;3109;236.8;1455;1.187755102
2036;3168;239.2;1455;1.187755102
2037;3228;241.5;1500;1.224489796
2038;3290;244;1500;1.224489796
2039;3352;246.4;1545;1.26122449
2040;3416;248.9;1545;1.26122449
2041;3481;251.4;1595;1.302040816
2042;3547;253.9;1595;1.302040816
2043;3614;256.4;1640;1.33877551
2044;3683;259;1640;1.33877551
2045;3753;261.6;1695;1.383673469
2046;3824;264.2;1695;1.383673469
2047;3897;266.8;1745;1.424489796
2048;3971;269.5;1745;1.424489796
2049;4046;272.2;1800;1.469387755
2050;4123;274.9;1800;1.469387755
2051;4202;277.7;1855;1.514285714
2052;4282;280.4;1855;1.514285714
2053;4363;283.2;1915;1.563265306
2054;4446;286.1;1915;1.563265306
2055;4530;288.9;1975;1.612244898
2056;4616;291.8;1975;1.612244898
2057;4704;294.7;2035;1.66122449
2058;4793;297.7;2035;1.66122449
2059;4885;300.7;2100;1.714285714
2060;4977;303.7;2100;1.714285714
2061;5072;306.7;2165;1.767346939
2062;5168;309.8;2165;1.767346939
2063;5266;312.9;2235;1.824489796
2064;5367;316;2235;1.824489796
2065;5468;319.2;2305;1.881632653
2066;5572;322.3;2305;1.881632653
2067;5678;325.6;2380;1.942857143
2068;5786;328.8;2380;1.942857143
2069;5896;332.1;2455;2.004081633
2070;6008;335.4;2455;2.004081633
